DMA,High_Conc_ZIPs,Total_Population,Total_Female_GenZ,Avg_GenZ_Percentage
Los Angeles,148,6255161,761255,0.14034058004054054
New York,129,5170286,648045,0.1379544647751938
Dallas-Ft. Worth,97,3201457,393958,0.12703589273195875
Houston,79,2824297,335885,0.12131442025316455
Boston (Manchester),71,1646095,250280,0.16452941870422536
Salt Lake City,69,1732354,231214,0.15620994765217394
Atlanta,68,2263932,287214,0.14542647552941176
Chicago,67,2475083,308403,0.13306304623880597
Philadelphia,63,1618419,228716,0.16354049136507937
Fresno-Visalia,59,1131987,131907,0.12062877111864408
Phoenix (Prescott),55,1917918,248171,0.1347694662
Denver,45,1319499,174504,0.14295298935555556
"Washington, DC (Hagrstwn)",41,911390,138755,0.1811103667317073
Kansas City,40,466016,62401,0.143672521475
Oklahoma City,40,662874,88881,0.15520190042499998
Minneapolis-St. Paul,37,843615,124848,0.1572838012162162
San Antonio,32,884865,110065,0.139060804
Indianapolis,31,816494,117952,0.1829113909032258
San Francisco-Oak-San Jose,29,756039,104442,0.15183135906896553
Sacramnto-Stkton-Modesto,29,836113,106237,0.1331957865862069
Harlingen-Wslco-Brnsvl-Mca,28,1206630,142660,0.11784591892857142
Norfolk-Portsmth-Newpt Nws,28,479095,61312,0.15640775546428573
Orlando-Daytona Bch-Melbrn,28,1035390,135980,0.14468143049999999
Seattle-Tacoma,28,677017,97340,0.16316087485714287
St. Louis,27,379762,51281,0.14796857733333335
Memphis,27,589597,70056,0.12193091362962963
San Diego,27,748410,99783,0.17229972277777778
Wichita-Hutchinson Plus,27,363846,42794,0.13034821333333332
El Paso (Las Cruces),27,747990,86877,0.1267192402962963
Raleigh-Durham (Fayetvlle),26,726345,103719,0.16062304084615386
Nashville,25,902219,120243,0.14397869332
Austin,25,767499,118851,0.16001957220000002
Cleveland-Akron (Canton),24,395447,55789,0.15851443520833333
Buffalo,23,331915,45428,0.17168833452173912
Detroit,22,609076,84775,0.1481217955909091
Charlotte,22,624297,87606,0.17257589795454545
Tampa-St. Pete (Sarasota),22,619181,83526,0.15475065036363636
Pittsburgh,22,316583,63669,0.2249085140909091
Waco-Temple-Bryan,22,638389,98207,0.14503746522727273
Hartford & New Haven,22,537936,79420,0.15946057209090908
Baltimore,21,431566,59159,0.15048194847619048
"Columbus, OH",21,452745,75012,0.17266670447619048
Albuquerque-Santa Fe,21,291735,35323,0.12182545585714287
"Portland, OR",20,536320,63885,0.1227346592
Milwaukee,20,510416,71023,0.1468514088
Cincinnati,20,255545,43211,0.1694079543
Fargo,18,277530,36312,0.16368049755555555
Birmingham (Ann and Tusc),18,376283,62393,0.19874666905555557
"Rochester, NY",17,270029,38388,0.14500991170588234
Greenvll-Spart-Ashevll-And,17,377938,52461,0.1629957730588235
Des Moines-Ames,17,256806,38966,0.19282389447058823
Savannah,17,352515,51102,0.1419184381764706
Providence-New Bedford,16,336913,50165,0.17576887575
Miami-Ft. Lauderdale,16,460049,56586,0.1545321159375
Albany-Schenectady-Troy,16,267474,38313,0.141625128625
Grand Rapids-Kalmzoo-B.Crk,15,419800,60855,0.14550970113333334
Yakima-Pasco-Rchlnd-Knnwck,15,341111,39683,0.11739979366666667
Burlington-Plattsburgh,15,138082,24623,0.15939940260000002
Cedar Rapids-Wtrlo-IWC&Dub,15,321799,47392,0.19372824153333335
Lincoln & Hastings-Krny,14,170529,26124,0.1827663782142857
Bakersfield,14,474003,54550,0.11756847107142857
"Jackson, MS",14,170064,21164,0.14827781235714285
Omaha,14,210752,28085,0.16243582757142858
Springfield-Holyoke,14,242555,39460,0.20455581592857144
Syracuse,14,219098,42503,0.21269343885714287
Amarillo,14,154038,18028,0.11759413857142856
Sioux Falls(Mitchell),14,93826,14217,0.13059954835714285
New Orleans,13,284548,38686,0.15387436992307693
Little Rock-Pine Bluff,13,250998,33795,0.13507249815384614
Tulsa,13,232847,28191,0.12481982153846152
Lexington,13,278075,40090,0.14798376538461538
Harrisburg-Lncstr-Leb-York,13,297168,35342,0.12414289292307693
Greensboro-H.Point-W.Salem,13,362774,54491,0.2150873677692308
Lubbock,12,187028,29026,0.17396761824999998
Las Vegas,12,573746,65011,0.11381870966666667
Monterey-Salinas,12,313053,39306,0.14347339941666667
Richmond-Petersburg,12,278336,43544,0.16192457958333334
Tucson (Sierra Vista),12,350347,46060,0.13126825
Baton Rouge,12,155984,24818,0.20039004616666667
Rapid City,12,46114,5454,0.12316391416666667
Santabarbra-Sanmar-Sanluob,11,251067,42772,0.20755721809090907
Roanoke-Lynchburg,11,214299,38580,0.1794145209090909
Spokane,11,183792,31735,0.18237899300000002
Topeka,11,197569,32325,0.17129038863636364
"Columbia, SC",11,273646,39680,0.1450590009090909
Ft. Wayne,11,141975,16047,0.112034432
Sioux City,11,97642,12038,0.13122624972727273
Wilkes Barre-Scranton-Hztn,11,151631,22463,0.14708610036363637
Mobile-Pensacola (Ft Walt),10,152503,21044,0.1955133088
Paducah-Cape Girard-Harsbg,10,134058,20160,0.1356669132
Tallahassee-Thomasville,10,250699,47586,0.2544758012
Chattanooga,10,163416,21260,0.1612808013
Lansing,10,153737,29309,0.2196254058
Jacksonville,9,253400,30922,0.12979336455555554
Portland-Auburn,9,165501,19555,0.1267463091111111
Knoxville,9,132757,21415,0.1840727908888889
Louisville,9,96908,13975,0.1384065
Erie,9,70048,9767,0.22607318
Bismarck-Mnt-Dcknsn(Wlstn),9,68038,8368,0.1288748408888889
Shreveport,9,100055,12586,0.12309409433333333
Montgomery-Selma,8,90210,13742,0.174714826375
South Bend-Elkhart,8,96038,11831,0.128362392
Huntsville-Decatur (Flor),8,159698,21891,0.1563848715
Greenville-N.Bern-Washngtn,8,242602,32874,0.151589945
Ft. Smith-Fay-Sprngdl-Rgrs,8,271916,38298,0.13273474362499998
Madison,8,133269,30010,0.2386539625
"Columbus, GA (Opelika, AL)",8,165288,27452,0.197687815
Macon,7,121632,15360,0.1735903312857143
Ft. Myers-Naples,7,161863,19771,0.17983775885714287
Evansville,7,97887,12089,0.12127747314285713
Dayton,7,98112,15465,0.22863594871428572
Colorado Springs-Pueblo,7,116560,16090,0.15266881557142858
Honolulu,7,104912,12740,0.13926710385714286
Watertown,7,50925,8746,0.17432099557142858
Toledo,7,118575,19127,0.1983230442857143
Idaho Fals-Pocatllo(Jcksn),7,117843,22734,0.195398715
Yuma-El Centro,7,190826,21042,0.11166357085714286
"Springfield, MO",7,168422,23306,0.13959264685714287
Champaign&Sprngfld-Decatur,6,133071,27593,0.17555977366666667
"Charleston, SC",6,96368,13931,0.1866359261666667
Eugene,6,149172,28561,0.24075901649999998
Peoria-Bloomington,6,112252,18553,0.14773532266666667
Tyler-Longview(Lfkn&Ncgd),6,162655,21247,0.13826375716666667
Reno,6,174069,22043,0.16970760966666668
Laredo,6,271625,32687,0.11870782433333334
Monroe-El Dorado,6,127398,17996,0.16605546616666667
Columbia-Jefferson City,6,155405,26074,0.20802858916666667
Corpus Christi,6,108590,14229,0.13577284516666668
Columbus-Tupelo-West Point,5,68929,11298,0.148459711
Davenport-R.Island-Moline,5,97365,11098,0.11903558919999999
Duluth-Superior,5,88716,11934,0.151236268
Gainesville,5,132871,32887,0.3106675498
"Albany, GA",5,66019,7953,0.12191316859999998
Flint-Saginaw-Bay City,5,69122,12944,0.22710910439999998
Binghamton,5,107083,18768,0.1728164134
Billings,5,6165,744,0.12340354039999998
Wichita Falls & Lawton,5,51096,7330,0.148125877
Odessa-Midland,5,104004,11146,0.10715356979999999
Green Bay-Appleton,5,142335,17612,0.1211510478
Johnstown-Altoona-St Colge,5,89179,21888,0.2434121962
Augusta-Aiken,5,102995,12672,0.131975376
Anchorage,4,58696,7500,0.14465946625
Boise,4,108266,15036,0.1480769565
Fairbanks,4,29577,3877,0.170940318
Salisbury,4,90620,10907,0.118185305
Utica,4,59395,7065,0.12912604625
Greenwood-Greenville,4,23966,2993,0.13901988875
Harrisonburg,4,85479,16171,0.2592834035
Great Falls,4,12403,1419,0.12362658925
"Tri-Cities, TN-VA",4,77730,10586,0.1227221165
Meridian,4,11494,1946,0.17557989075
Marquette,4,50216,6541,0.1339987085
Cheyenne-Scottsbluff,4,2769,387,0.12876373275
Abilene-Sweetwater,3,59128,8002,0.14132320166666668
San Angelo,3,40505,4906,0.23014794066666666
Sherman-Ada,3,58123,6488,0.11081149333333333
Myrtle Beach-Florence,3,91345,12808,0.14824337733333334
Missoula,3,53808,7860,0.2694201756666667
West Palm Beach-Ft. Pierce,3,69910,10194,0.14690890166666667
Youngstown,3,15793,2067,0.13718123233333332
Hattiesburg-Laurel,3,106037,15610,0.14036670766666667
"Lafayette, IN",3,25280,4866,0.262897044
Joplin-Pittsburg,3,74049,9404,0.12567108899999999
Jonesboro,3,100270,12185,0.11569304633333333
Palm Springs,3,123693,14355,0.12124506800000001
Butte-Bozeman,3,98883,13904,0.13314033466666667
Charleston-Huntington,3,9196,2338,0.18217086633333332
Charlottesville,3,47292,11536,0.27395778633333334
Wilmington,2,42177,8691,0.162567998
St. Joseph,2,15494,1845,0.127585539
Terre Haute,2,14742,3708,0.38448465649999997
Quincy-Hannibal-Keokuk,2,21006,3713,0.16777175700000002
Rochestr-Mason City-Austin,2,30285,3547,0.1494576805
Twin Falls,2,2752,298,0.108235179
"Lafayette, LA",2,44475,5377,0.126413958
Eureka,2,24980,4608,0.1550902975
Bangor,2,19927,4148,0.20040164900000002
Casper-Riverton,2,2415,269,0.1114357865
Chico-Redding,2,78560,12182,0.1546091055
Dothan,2,13851,1712,0.130945379
Grand Junction-Montrose,2,38124,5286,0.132715
Wheeling-Steubenville,2,18546,2643,0.18421766299999998
La Crosse-Eau Claire,2,84404,14620,0.1727490495
"Alexandria, LA",1,9597,1548,0.161300406
Elmira (Corning),1,6889,1173,0.170271447
Bluefield-Beckley-Oak Hill,1,1975,292,0.147848101
Biloxi-Gulfport,1,11644,1281,0.110013741
Beaumont-Port Arthur,1,12218,1308,0.107055165
Bowling Green,1,68107,10633,0.156121985
Clarksburg-Weston,1,2353,298,0.126646834
"Jackson, TN",1,12946,1665,0.128611154
Lake Charles,1,30386,3410,0.112222734
Ottumwa-Kirksville,1,21671,4117,0.189977389
Medford-Klamath Falls,1,26882,2859,0.106353694
Mankato,1,52209,8830,0.169127928
Panama City,1,171,34,0.198830409
Rockford,1,16551,1861,0.112440336
Traverse City-Cadillac,1,16735,2836,0.169465193
Wausau-Rhinelander,1,27868,4475,0.160578441
Victoria,1,40454,4319,0.106763237
