DMA,Total Population,Total Female GenZ,Zip,Real_GenZ_Percentage,Index_vs_National,ZIP_Count,Concentration_Level
Abilene-Sweetwater,261606,25591,70,9.782267990795319,101.84488540387713,70,Media (100-109)
"Albany, GA",413757,39851,60,9.631498681593301,100.27520002697376,60,Media (100-109)
Albany-Schenectady-Troy,1365285,123410,258,9.039138348403448,94.10803405807066,258,Media-Baja (90-99)
Albuquerque-Santa Fe,1830777,169138,228,9.238591046315307,96.18457062213139,228,Media-Baja (90-99)
"Alexandria, LA",205436,18944,31,9.221363344301874,96.00521003428192,31,Media-Baja (90-99)
Alpena,12907,830,9,6.43061904392965,66.95028803353794,9,Baja (<90)
Amarillo,551300,54869,126,9.95265735534192,103.618838573287,126,Media (100-109)
Anchorage,455973,42273,32,9.270943674296504,96.52139943241953,32,Media-Baja (90-99)
Atlanta,7616406,781563,311,10.261572190348046,106.83500439499218,311,Media (100-109)
Augusta-Aiken,757713,69902,73,9.225392727853423,96.04716064394032,73,Media-Baja (90-99)
Austin,2913456,308959,125,10.604553492484527,110.40584210304014,125,Media-Alta (110-119)
Bakersfield,844849,88996,37,10.533953404691253,109.6708123678524,37,Media (100-109)
Baltimore,2993193,279809,183,9.348177681826732,97.32549605434806,183,Media-Baja (90-99)
Bangor,342746,28161,154,8.216288446838185,85.54120129409806,154,Baja (<90)
Baton Rouge,921770,93629,91,10.157523026351475,105.75173053727625,91,Media (100-109)
Beaumont-Port Arthur,462311,40686,41,8.800569313730367,91.62425054078653,41,Media-Baja (90-99)
"Bend, OR",98959,7613,3,7.693085015006215,80.09403979658218,3,Baja (<90)
Billings,297275,25587,94,8.607181902279034,89.61086072399293,94,Baja (<90)
Biloxi-Gulfport,343697,31487,17,9.161267046264587,95.37953707249393,17,Media-Baja (90-99)
Binghamton,382316,40384,92,10.56298977808933,109.97311507761806,92,Media (100-109)
Birmingham (Ann and Tusc),2097879,211399,227,10.076796612197366,104.9112738654362,227,Media (100-109)
Bismarck-Mnt-Dcknsn(Wlstn),443676,39795,239,8.969383063316474,93.38179971009713,239,Media-Baja (90-99)
Bluefield-Beckley-Oak Hill,297004,23237,154,7.823800352857201,81.45493980632321,154,Baja (<90)
Boise,971390,93100,73,9.584204078691359,99.78280772926709,73,Media-Baja (90-99)
Boston (Manchester),6982093,675982,501,9.681652765152226,100.79736287278843,501,Media (100-109)
Bowling Green,180789,20343,27,11.252343892604086,117.15010009392599,27,Media-Alta (110-119)
Buffalo,1614431,148232,220,9.181686922513258,95.59213193888525,220,Media-Baja (90-99)
Burlington-Plattsburgh,896009,79849,345,8.911629235867052,92.78051461509091,345,Media-Baja (90-99)
Butte-Bozeman,254487,26526,37,10.423322212922468,108.51901187962328,37,Media (100-109)
Casper-Riverton,98222,8976,23,9.138482213760666,95.14232023714531,23,Media-Baja (90-99)
Cedar Rapids-Wtrlo-IWC&Dub,970260,101111,237,10.421021169583412,108.49505531910009,237,Media (100-109)
Champaign&Sprngfld-Decatur,905938,92666,212,10.228735299766651,106.4931338429455,212,Media (100-109)
"Charleston, SC",1044119,93007,71,8.907701133683037,92.73961846328213,71,Media-Baja (90-99)
Charleston-Huntington,1024601,85613,364,8.355740429689215,86.99306002728451,364,Baja (<90)
Charlotte,3716074,354719,193,9.545531116979909,99.38017683043697,193,Media-Baja (90-99)
Charlottesville,208199,24821,36,11.921767155461842,124.11958156351868,36,Alta (120-129)
Chattanooga,1071501,98278,110,9.171993306585808,95.49121002545891,110,Media-Baja (90-99)
Cheyenne-Scottsbluff,130012,11554,23,8.886871981047904,92.52276254958389,23,Media-Baja (90-99)
Chicago,9605182,930439,411,9.686844038978126,100.85141012322119,411,Media (100-109)
Chico-Redding,440720,41894,62,9.505808676710837,98.96661962867427,62,Media-Baja (90-99)
Cincinnati,2696521,257341,202,9.543445053830473,99.35845846588188,202,Media-Baja (90-99)
Clarksburg-Weston,189365,15262,80,8.059567501914293,83.9095524074411,80,Baja (<90)
Cleveland-Akron (Canton),3917055,351179,279,8.965383432195871,93.34015885814757,279,Media-Baja (90-99)
Colorado Springs-Pueblo,999740,95248,85,9.527277092043931,99.19013101698006,85,Media-Baja (90-99)
"Columbia, SC",1113997,113416,81,10.180996896760044,105.9961210655255,81,Media (100-109)
Columbia-Jefferson City,619346,65706,128,10.608932648309668,110.45143425238595,128,Media-Alta (110-119)
"Columbus, GA (Opelika, AL)",662947,72442,80,10.927268695687589,113.76568594694535,80,Media-Alta (110-119)
"Columbus, OH",2725245,275955,208,10.12587859073221,105.42227484025926,208,Media (100-109)
Columbus-Tupelo-West Point,443426,44545,77,10.0456445945885,104.58694481756513,77,Media (100-109)
Corpus Christi,588687,57413,57,9.752720885631923,101.53726537729293,57,Media (100-109)
Dallas-Ft. Worth,9042742,924629,428,10.225095441183658,106.45523864516313,428,Media (100-109)
Davenport-R.Island-Moline,667021,57437,156,8.610973267708214,89.6503332857774,156,Baja (<90)
Dayton,1096048,102183,105,9.322858123001913,97.06188974450082,105,Media-Baja (90-99)
Denver,4954077,483539,405,9.760425605011791,101.61748054447604,405,Media (100-109)
Des Moines-Ames,1183381,117828,285,9.956894694101054,103.6629542406095,285,Media (100-109)
Detroit,5122203,473989,276,9.253616071053802,96.3409987555788,276,Media-Baja (90-99)
Dothan,281380,25207,37,8.958348141303576,93.26691322682946,37,Media-Baja (90-99)
Duluth-Superior,404570,34502,127,8.528066836394196,88.78718007791542,127,Baja (<90)
El Paso (Las Cruces),1104284,121992,49,11.047158158589639,115.01387589858855,49,Media-Alta (110-119)
Elmira (Corning),213182,17482,62,8.200504733045005,85.37687431757006,62,Baja (<90)
Erie,388040,35945,58,9.263220286568394,96.4409899058313,58,Media-Baja (90-99)
Eugene,709179,72259,80,10.189105994396337,106.08054628473582,80,Media (100-109)
Eureka,161455,15442,34,9.564274875352265,99.57532134347491,34,Media-Baja (90-99)
Evansville,725970,64266,141,8.852431918674325,92.164201098493,141,Media-Baja (90-99)
Fairbanks,101638,10003,13,9.841791455951514,102.46459450338028,13,Media (100-109)
Fargo,643401,64162,287,9.972318973703802,103.82353908556132,287,Media (100-109)
Flint-Saginaw-Bay City,1032614,91808,135,8.890834329187868,92.56401524196816,135,Media-Baja (90-99)
Fresno-Visalia,2108123,224640,117,10.655924725454824,110.94067690207025,117,Media-Alta (110-119)
Ft. Myers-Naples,1462505,103314,65,7.064180977159053,73.54641099262295,65,Baja (<90)
Ft. Smith-Fay-Sprngdl-Rgrs,975087,101918,114,10.452195547679336,108.81961716587263,114,Media (100-109)
Ft. Wayne,918406,85241,119,9.281407133664196,96.63033631916537,119,Media-Baja (90-99)
Gainesville,328087,49251,24,15.011567053860714,156.2880231630991,24,Muy Alta (â‰¥130)
Glendive,9544,794,6,8.319362950544845,86.61432779481794,6,Baja (<90)
Grand Junction-Montrose,189805,17085,20,9.001343484102104,93.7145451833795,20,Media-Baja (90-99)
Grand Rapids-Kalmzoo-B.Crk,2101484,207916,157,9.893770307078237,103.00575532021821,157,Media (100-109)
Great Falls,172967,14815,86,8.565217642671724,89.17396355303148,86,Baja (<90)
Green Bay-Appleton,1171465,101546,153,8.66829141288899,90.24708241726633,153,Media-Baja (90-99)
Greensboro-H.Point-W.Salem,1894927,186479,134,9.840959572585119,102.45593362165025,134,Media (100-109)
Greenville-N.Bern-Washngtn,856648,81870,112,9.557017584818968,99.49976443546528,112,Media-Baja (90-99)
Greenvll-Spart-Ashevll-And,2368415,216798,167,9.153716726164966,95.30092938294462,167,Media-Baja (90-99)
Greenwood-Greenville,176225,16284,49,9.2404596396652,96.20402487095849,49,Media-Baja (90-99)
Harlingen-Wslco-Brnsvl-Mca,1415503,163770,42,11.569738813693789,120.45455355978582,42,Alta (120-129)
Harrisburg-Lncstr-Leb-York,2074166,182737,183,8.810143450427786,91.72392853526667,183,Media-Baja (90-99)
Harrisonburg,256443,29922,47,11.668089984908928,121.47850462830777,47,Alta (120-129)
Hartford & New Haven,2652515,248890,216,9.383170311949225,97.68981038392471,216,Media-Baja (90-99)
Hattiesburg-Laurel,322396,34881,40,10.819302969019466,112.64163607728244,40,Media-Alta (110-119)
Helena,39739,2824,9,7.106369058104129,73.9856384062763,9,Baja (<90)
Honolulu,1417614,122267,62,8.624844280601067,89.79474680213553,62,Baja (<90)
Houston,8020787,817347,276,10.190359125607001,106.0935928506923,276,Media (100-109)
Huntsville-Decatur (Flor),933298,88549,75,9.48775203632709,98.77862881995874,75,Media-Baja (90-99)
Idaho Fals-Pocatllo(Jcksn),444441,53193,73,11.96851775601261,124.60631015857817,73,Alta (120-129)
Indianapolis,3211430,327413,271,10.195240126672541,106.14440979770745,271,Media (100-109)
"Jackson, MS",800747,77224,89,9.64399491974369,100.40530052550882,89,Media (100-109)
"Jackson, TN",294706,26314,58,8.92889863117819,92.96030927908009,58,Media-Baja (90-99)
Jacksonville,2111025,190679,98,9.032531590104332,94.03924995376094,98,Media-Baja (90-99)
Johnstown-Altoona-St Colge,653641,65126,180,9.963573276462157,103.73248611766161,180,Media (100-109)
Jonesboro,212841,22112,38,10.388975808232438,108.16142551488835,38,Media (100-109)
Joplin-Pittsburg,456805,43267,121,9.47165639605521,98.6110543228652,121,Media-Baja (90-99)
Juneau,55658,4848,5,8.710338136476338,90.68483813499878,5,Media-Baja (90-99)
Kansas City,2564314,247125,321,9.637080326356289,100.3333114968074,321,Media (100-109)
Knoxville,1503459,133190,153,8.858904699097216,92.23159033594122,153,Media-Baja (90-99)
La Crosse-Eau Claire,458750,44478,98,9.695476839237058,100.94128770109091,98,Media (100-109)
"Lafayette, IN",120544,14168,11,11.753384656225114,122.36652221624671,11,Alta (120-129)
"Lafayette, LA",720861,66799,60,9.266557630389215,96.4757355700581,60,Media-Baja (90-99)
Lake Charles,235584,22296,25,9.464140179299104,98.53280168912868,25,Media-Baja (90-99)
Lansing,658069,73145,65,11.115095833415644,115.72118679149916,65,Media-Alta (110-119)
Laredo,286005,34169,10,11.946993933672488,124.38222191833104,10,Alta (120-129)
Las Vegas,2429777,227686,76,9.37065417937531,97.55950276110251,76,Media-Baja (90-99)
Lexington,1233795,122698,175,9.944763919451773,103.53665864584775,175,Media (100-109)
Lima,101646,8818,11,8.675206107471027,90.3190724995226,11,Media-Baja (90-99)
Lincoln & Hastings-Krny,742358,74122,317,9.984670468965108,103.95213264082253,317,Media (100-109)
Little Rock-Pine Bluff,1432694,135224,245,9.438442542510822,98.26525914415694,245,Media-Baja (90-99)
Los Angeles,18151504,1844169,536,10.159868846129775,105.77615327305938,536,Media (100-109)
Louisville,1895697,171889,203,9.067324577714688,94.40148577058474,203,Media-Baja (90-99)
Lubbock,472532,55703,67,11.788196354955854,122.72895283778382,67,Alta (120-129)
Macon,767220,72304,97,9.424154740491646,98.1165063640567,97,Media-Baja (90-99)
Madison,1037872,105775,124,10.191526508085776,106.10574667175766,124,Media (100-109)
Mankato,109697,13592,20,12.390493814780715,128.9995759522424,20,Alta (120-129)
Marquette,212187,17933,70,8.451507396777371,87.99010649930385,70,Baja (<90)
Medford-Klamath Falls,478393,36531,71,7.636190328871868,79.50169937052819,71,Baja (<90)
Memphis,1821175,179650,178,9.864510549507873,102.70112691916613,178,Media (100-109)
Meridian,144476,13740,37,9.510230072814863,99.01265154887554,37,Media-Baja (90-99)
Miami-Ft. Lauderdale,4791859,426731,141,8.905332982460461,92.71496323096696,141,Media-Baja (90-99)
Milwaukee,2411104,226801,166,9.40652083029185,97.93291667246264,166,Media-Baja (90-99)
Minneapolis-St. Paul,5166592,482447,587,9.337818817510653,97.21764812479043,587,Media-Baja (90-99)
Missoula,342271,29230,58,8.540016536604037,88.91159047534342,58,Baja (<90)
Mobile-Pensacola (Ft Walt),1549864,139732,141,9.015758802062633,93.8646255540187,141,Media-Baja (90-99)
Monroe-El Dorado,437113,44105,76,10.090068243223147,105.04944711342073,76,Media (100-109)
Monterey-Salinas,624223,64657,41,10.357997061947414,107.83890042476376,41,Media (100-109)
Montgomery-Selma,539192,53504,80,9.922995890146739,103.31002792461565,80,Media (100-109)
Myrtle Beach-Florence,709316,61482,49,8.667786994794985,90.24183083317274,49,Media-Baja (90-99)
Nashville,3191224,319460,243,10.010579012942996,104.2218709770542,243,Media (100-109)
New Orleans,1801181,173525,128,9.633956831656564,100.30079225279852,128,Media (100-109)
New York,22164623,2117855,1059,9.555114021113736,99.47994610421522,1059,Media-Baja (90-99)
Norfolk-Portsmth-Newpt Nws,2028761,194861,185,9.604926356529923,99.99855095095778,185,Media-Baja (90-99)
North Platte,34008,2869,11,8.436250294048458,87.83126216172454,11,Baja (<90)
Odessa-Midland,488456,47150,39,9.652865355323714,100.49765216584213,39,Media (100-109)
Oklahoma City,2035395,211150,285,10.373907767288413,108.00454953227889,285,Media (100-109)
Omaha,1212981,115618,218,9.531723909937584,99.23642760783375,218,Media-Baja (90-99)
Orlando-Daytona Bch-Melbrn,4926980,444291,188,9.017511741472465,93.88287570965564,188,Media-Baja (90-99)
Ottumwa-Kirksville,141124,14061,67,9.963578129871602,103.73253664734747,67,Media (100-109)
Paducah-Cape Girard-Harsbg,960295,86790,251,9.03784774470345,94.09459735954105,251,Media-Baja (90-99)
Palm Springs,439646,37070,16,8.431783753292422,87.78476023273646,16,Baja (<90)
Panama City,488118,37663,49,7.715962123912661,80.33221733753089,49,Baja (<90)
Parkersburg,127928,10574,20,8.265586892627102,86.05445594697466,20,Baja (<90)
Peoria-Bloomington,597268,59031,120,9.883502883127843,102.89885939213642,120,Media (100-109)
Philadelphia,8403027,807343,484,9.60776396410484,100.02809377462205,484,Media (100-109)
Phoenix (Prescott),5971538,576753,234,9.658366069176818,100.55492104996348,234,Media (100-109)
Pittsburgh,2961047,269525,415,9.102354673870424,94.766190165519,415,Media-Baja (90-99)
"Portland, OR",3640037,330435,275,9.077792341121807,94.51046746743012,275,Media-Baja (90-99)
Portland-Auburn,1073233,84808,237,7.902105134672527,82.27018444468945,237,Baja (<90)
Presque Isle,62680,4513,33,7.200063816209318,74.96111075186586,33,Baja (<90)
Providence-New Bedford,1567233,150573,97,9.60756951901855,100.02606937316942,97,Media (100-109)
Quincy-Hannibal-Keokuk,230776,20697,106,8.968436925850174,93.3719493091551,106,Media-Baja (90-99)
Raleigh-Durham (Fayetvlle),3326007,332899,173,10.008968712332836,104.20510585865202,173,Media (100-109)
Rapid City,265310,23340,92,8.79725604010403,91.58975547552114,92,Media-Baja (90-99)
Reno,814456,72873,63,8.947444674727672,93.15339534887183,63,Media-Baja (90-99)
Richmond-Petersburg,1575884,150306,169,9.537884768168215,99.3005693693433,169,Media-Baja (90-99)
Roanoke-Lynchburg,1065540,106678,176,10.011637291889558,104.23288890235938,176,Media (100-109)
"Rochester, NY",1064071,102224,103,9.606877736542016,100.01886710605577,103,Media (100-109)
Rochestr-Mason City-Austin,436806,37481,121,8.580697151595903,89.33512340000918,121,Baja (<90)
Rockford,483509,42264,65,8.741098924735631,91.00509402638804,65,Media-Baja (90-99)
Sacramnto-Stkton-Modesto,4548545,431721,245,9.491408791162888,98.81669992755387,245,Media-Baja (90-99)
Salisbury,457155,36553,64,7.995756362721615,83.24520359132973,64,Baja (<90)
Salt Lake City,3619385,412570,271,11.398897879059563,118.67589901602503,271,Media-Alta (110-119)
San Angelo,144413,14344,34,9.932623794256749,103.41026570093565,34,Media (100-109)
San Antonio,2794006,288872,160,10.338989966378024,107.64101426258273,160,Media (100-109)
San Diego,3229836,325395,104,10.074660137542587,104.88903065797255,104,Media (100-109)
San Francisco-Oak-San Jose,7795853,697779,301,8.95064337411185,93.18669756186881,301,Media-Baja (90-99)
Santabarbra-Sanmar-Sanluob,702245,79190,37,11.276691183276492,117.40358395173476,37,Media-Alta (110-119)
Savannah,1046581,108438,95,10.36116650311825,107.87189802543693,95,Media (100-109)
Seattle-Tacoma,5752672,515971,303,8.969240728482347,93.38031783750027,303,Media-Baja (90-99)
Sherman-Ada,321626,29359,69,9.128304303756538,95.03635625425335,69,Media-Baja (90-99)
Shreveport,1100197,99700,190,9.062013439411306,94.34619059032786,190,Media-Baja (90-99)
Sioux City,444686,40901,199,9.197726035899487,95.75911792478723,199,Media-Baja (90-99)
Sioux Falls(Mitchell),722155,67780,311,9.38579667799849,97.71715393549862,311,Media-Baja (90-99)
South Bend-Elkhart,800738,74210,80,9.267700546246088,96.48763466488755,80,Media-Baja (90-99)
Spokane,1264575,119832,211,9.476069035051301,98.65699507129987,211,Media-Baja (90-99)
"Springfield, MO",1092523,98855,236,9.048322094820888,94.20364763176774,236,Media-Baja (90-99)
Springfield-Holyoke,668812,73307,77,10.960778215701872,114.11455936045283,77,Media-Alta (110-119)
St. Joseph,108081,9920,25,9.178301459090866,95.55688529315678,25,Media-Baja (90-99)
St. Louis,3200100,288026,362,9.000531233398956,93.70608870070501,362,Media-Baja (90-99)
Syracuse,949880,102562,121,10.797363877542427,112.41322439816604,121,Media-Alta (110-119)
Tallahassee-Thomasville,757429,88524,70,11.687432089344348,121.67987862578451,70,Alta (120-129)
Tampa-St. Pete (Sarasota),5384459,445603,230,8.275724636402654,86.16000175230798,230,Baja (<90)
Terre Haute,357247,32852,91,9.195878481834697,95.73988271959932,91,Media-Baja (90-99)
Toledo,1001953,96737,125,9.65484408949322,100.51825310980806,125,Media (100-109)
Topeka,526681,59402,153,11.278553811510193,117.4229760967046,153,Media-Alta (110-119)
Traverse City-Cadillac,644138,47953,149,7.4445227575457436,77.50621510698966,149,Baja (<90)
"Tri-Cities, TN-VA",821895,69276,153,8.428813899585712,87.75384057170174,153,Baja (<90)
Tucson (Sierra Vista),1171751,111305,57,9.4990317908839,98.89606429722261,57,Media-Baja (90-99)
Tulsa,1399780,130982,150,9.357327580048294,97.4207572286186,150,Media-Baja (90-99)
Twin Falls,215113,20507,30,9.533129099589518,99.25105728054426,30,Media-Baja (90-99)
Tyler-Longview(Lfkn&Ncgd),610211,60548,57,9.922469440898313,103.30454697035971,57,Media (100-109)
Utica,262673,23600,70,8.984554940934165,93.53975675429069,70,Media-Baja (90-99)
Victoria,99347,9549,6,9.611764824302696,100.06974742270765,6,Media (100-109)
Waco-Temple-Bryan,1184360,146847,93,12.398848323144989,129.08655618502337,93,Alta (120-129)
"Washington, DC (Hagrstwn)",7507735,720988,478,9.603269161737861,99.98129760911024,478,Media-Baja (90-99)
Watertown,247687,24933,78,10.066333719573493,104.80234287915835,78,Media (100-109)
Wausau-Rhinelander,398087,32032,80,8.046482301607437,83.77332012194326,80,Baja (<90)
West Palm Beach-Ft. Pierce,2234142,173358,80,7.7594888776093915,80.78538190493158,80,Baja (<90)
Wheeling-Steubenville,302091,23977,77,7.937012357203624,82.63360958104765,77,Baja (<90)
Wichita Falls & Lawton,391914,37617,75,9.598279214317426,99.9293464027352,75,Media-Baja (90-99)
Wichita-Hutchinson Plus,1195381,115255,343,9.641695827522772,100.38136427841431,343,Media (100-109)
Wilkes Barre-Scranton-Hztn,1419972,123192,245,8.675664027178001,90.32383998085974,245,Media-Baja (90-99)
Wilmington,620474,53318,53,8.593107849805149,89.46433332740966,53,Baja (<90)
Yakima-Pasco-Rchlnd-Knnwck,818528,83464,59,10.196841158763048,106.1610784199471,59,Media (100-109)
Youngstown,553492,45119,69,8.151698669538131,84.86874594186526,69,Baja (<90)
Yuma-El Centro,384373,37700,17,9.808181115739139,102.11467143333807,17,Media (100-109)
Zanesville,62857,5551,6,8.831156434446443,91.94269834932078,6,Media-Baja (90-99)
