DMA,Zip,Region,Total Population,Total Female GenZ,GenZ Female %,Index_vs_National,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage
Los Angeles,90095,West Coast,4,3,0.75,7.8083798281524786,2,1,0,66.66666666666666,33.33333333333333,0.0
Pittsburgh,15260,Pennsylvania,3,2,0.666666667,6.940782072939261,1,1,0,50.0,50.0,0.0
Indianapolis,47306,Other,107,71,0.663551402,6.908348509758795,50,21,0,70.4225352112676,29.577464788732392,0.0
Springfield-Holyoke,1063,Other,772,502,0.650259067,6.769959709114735,202,282,18,40.23904382470119,56.17529880478087,3.5856573705179287
Mobile-Pensacola (Ft Walt),36688,Other,2010,1294,0.643781095,6.702516421258553,123,1024,147,9.505409582689335,79.13446676970634,11.360123647604329
Cedar Rapids-Wtrlo-IWC&Dub,50614,Other,2694,1695,0.629175947,6.550459697218044,1221,471,3,72.0353982300885,27.787610619469028,0.17699115044247787
"Washington, DC (Hagrstwn)",20059,Pacific Northwest,1893,1174,0.620179609,6.456797264996123,250,910,14,21.29471890971039,77.51277683134583,1.192504258943782
Salt Lake City,84602,Mountain West,4502,2790,0.619724567,6.452059743964439,2448,328,14,87.74193548387098,11.75627240143369,0.5017921146953405
Greensboro-H.Point-W.Salem,27412,Other,1912,1181,0.617677824,6.430750748291623,751,409,21,63.59017781541066,34.63166807790009,1.7781541066892466
Tallahassee-Thomasville,32307,Other,1045,623,0.596172249,6.206852484261196,448,158,17,71.91011235955057,25.36115569823435,2.7287319422150884
Tallahassee-Thomasville,32306,Other,6301,3723,0.590858594,6.15153110224018,2992,715,16,80.36529680365297,19.204942250872953,0.42976094547408006
Tampa-St. Pete (Sarasota),33620,Florida,3463,1997,0.576667629,6.0037865091094895,1313,674,10,65.7486229344016,33.750625938908364,0.5007511266900351
Miami-Ft. Lauderdale,33199,Florida,3512,2022,0.575740319,5.994132124178231,918,1080,24,45.40059347181009,53.41246290801187,1.1869436201780417
Harrisonburg,22807,Other,5500,3155,0.573636364,5.9722274844697765,2366,773,16,74.99207606973059,24.50079239302694,0.5071315372424723
Norfolk-Portsmth-Newpt Nws,23668,Other,117,67,0.572649573,5.961953832551107,31,35,1,46.26865671641791,52.23880597014925,1.4925373134328357
Erie,16444,Other,1208,691,0.572019868,5.955397864791525,385,295,11,55.7163531114327,42.6917510853835,1.5918958031837915
Cleveland-Akron (Canton),44243,Ohio,5011,2863,0.571343045,5.9483513433776185,1702,1081,80,59.448131330771915,37.75759692630108,2.7942717429269996
Oklahoma City,73019,Other,4245,2417,0.569375736,5.927869348829161,1397,1005,15,57.79892428630534,41.58047165908151,0.6206040546131568
Orlando-Daytona Bch-Melbrn,32816,Florida,8939,5088,0.569191185,5.9259479564216075,3960,1098,30,77.83018867924528,21.580188679245282,0.589622641509434
"Columbus, GA (Opelika, AL)",36849,Ohio,4013,2268,0.56516322,5.884012115548935,1039,1207,22,45.811287477954146,53.21869488536155,0.9700176366843033
Ft. Myers-Naples,33965,Other,2207,1247,0.56502039,5.882525087694463,806,434,7,64.63512429831596,34.80352846832398,0.5613472333600642
Los Angeles,91330,West Coast,2050,1154,0.562926829,5.8607286617192536,398,681,75,34.48873483535528,59.01213171577123,6.499133448873485
Pittsburgh,15705,Pennsylvania,1780,993,0.557865169,5.808030843264632,552,430,11,55.58912386706949,43.3031218529708,1.1077542799597182
Toledo,43403,Other,4072,2264,0.555992141,5.788530424527613,1532,695,37,67.6678445229682,30.697879858657245,1.6342756183745584
Syracuse,13244,Other,436,240,0.550458716,5.730920978993486,47,191,2,19.583333333333332,79.58333333333333,0.8333333333333334
Atlanta,30602,Southeast,3691,2004,0.542942292,5.652666187604898,309,1620,75,15.419161676646706,80.83832335329342,3.74251497005988
Seattle-Tacoma,98195,Pacific Northwest,3825,2075,0.54248366,5.647891290461771,1447,622,6,69.73493975903614,29.975903614457835,0.2891566265060241
Austin,78712,Texas,5030,2721,0.540954274,5.631968588072625,2185,517,19,80.30135979419332,19.000367511944138,0.6982726938625505
Missoula,59812,Other,1198,647,0.540066778,5.622728713587337,211,424,12,32.61205564142195,65.53323029366305,1.8547140649149922
New York,12604,New York,2054,1107,0.538948393,5.611085013755193,511,582,14,46.160794941282745,52.574525745257446,1.2646793134598013
Terre Haute,47809,Other,1003,540,0.538384845,5.605217817974665,270,260,10,50.0,48.148148148148145,1.8518518518518516
Los Angeles,92521,West Coast,3705,1991,0.537381916,5.5947761505444396,1598,331,62,80.2611752887996,16.624811652435962,3.11401305876444
Lansing,48825,Other,5381,2883,0.53577402,5.578036066954883,1746,1076,61,60.561914672216446,37.32223378425251,2.115851543531044
Madison,53706,Other,7069,3754,0.531051068,5.528864596120041,3314,427,13,88.27916888652105,11.374533830580715,0.34629728289824185
Birmingham (Ann and Tusc),35229,Other,2735,1451,0.530530165,5.523441384816542,541,849,61,37.28463128876637,58.51137146795313,4.203997243280496
Philadelphia,19716,Pennsylvania,4007,2124,0.530072373,5.518675233058822,593,1337,194,27.91902071563089,62.9472693032015,9.133709981167607
"Washington, DC (Hagrstwn)",20052,Pacific Northwest,8058,4232,0.525192355,5.467868520909195,1751,2182,299,41.37523629489603,51.55954631379962,7.065217391304348
Philadelphia,19717,Pennsylvania,130,68,0.523076923,5.4458443921670225,20,41,7,29.411764705882355,60.29411764705882,10.294117647058822
Lansing,48824,Other,3446,1801,0.522634939,5.441242820233735,1008,770,23,55.968906163242636,42.754025541365905,1.2770682953914492
Lincoln & Hastings-Krny,68588,Other,3581,1865,0.520804245,5.422183148098909,1371,488,6,73.51206434316354,26.16621983914209,0.32171581769436997
New York,11549,New York,2898,1506,0.519668737,5.410361177749701,692,784,30,45.949535192563076,52.058432934926955,1.9920318725099602
Santabarbra-Sanmar-Sanluob,93106,Other,4854,2515,0.518129378,5.394334644731188,1644,673,198,65.36779324055667,26.75944333996024,7.8727634194831015
Charlotte,28608,Carolinas,35,18,0.514285714,5.354317593472794,10,8,0,55.55555555555556,44.44444444444444,0.0
Greenvll-Spart-Ashevll-And,29634,Other,6186,3178,0.513740705,5.348643410430444,2467,701,10,77.6274386406545,22.057898049087477,0.3146633102580239
Flint-Saginaw-Bay City,48710,Other,1622,833,0.513563502,5.34679851932286,683,138,12,81.99279711884753,16.56662665066026,1.440576230492197
San Diego,92093,West Coast,9894,5077,0.513139276,5.342381829001557,3212,1689,176,63.26570809533189,33.26767776245814,3.4666141422099663
Boston (Manchester),3435,Massachusetts,998,512,0.513026052,5.341203034338006,294,215,3,57.421875,41.9921875,0.5859375
Detroit,48109,Michigan,4430,2266,0.511512415,5.325444297514079,716,1511,39,31.597528684907328,66.68137687555163,1.7210944395410415
Salt Lake City,84322,Mountain West,1948,996,0.511293634,5.323166530651169,687,290,19,68.97590361445783,29.116465863453815,1.9076305220883536
"Lafayette, IN",47907,Other,4767,2434,0.510593665,5.315879032224593,1618,811,5,66.47493837304847,33.31963845521775,0.2054231717337716
Kansas City,66045,Other,3333,1692,0.507650765,5.2852399908962315,1238,439,15,73.1678486997636,25.945626477541374,0.8865248226950355
Lubbock,79409,Other,6848,3462,0.505549065,5.263358828383128,3019,418,25,87.20392836510688,12.073945696129405,0.7221259387637204
Gainesville,32611,Other,10752,5413,0.50344122,5.241413689211299,3906,1230,277,72.15961573988547,22.723074080916312,5.117310179198227
Raleigh-Durham (Fayetvlle),27708,Carolinas,6026,3032,0.503153004,5.238413022543897,1520,1319,193,50.131926121372025,43.50263852242744,6.3654353562005275
Oklahoma City,74078,Other,1689,849,0.502664298,5.233325019780835,575,270,4,67.72673733804476,31.802120141342755,0.47114252061248524
Baton Rouge,70803,Other,18,9,0.5,5.205586552101653,8,1,0,88.88888888888889,11.11111111111111,0.0
Idaho Fals-Pocatllo(Jcksn),83460,Other,18,9,0.5,5.205586552101653,5,4,0,55.55555555555556,44.44444444444444,0.0
San Diego,92182,West Coast,8,4,0.5,5.205586552101653,1,3,0,25.0,75.0,0.0
Hartford & New Haven,6269,Other,12461,6167,0.494904101,5.152532265491116,3131,2957,79,50.77022863628993,47.94875952651208,1.2810118371979893
Indianapolis,47405,Other,4612,2280,0.494362533,5.146893907295419,2038,227,15,89.3859649122807,9.956140350877194,0.6578947368421052
Springfield-Holyoke,1003,Other,8988,4418,0.491544281,5.117552597872152,2538,1855,25,57.446808510638306,41.98732458125849,0.565866908103214
Birmingham (Ann and Tusc),35487,Other,12492,6124,0.49023375,5.1039084327727275,3557,2455,112,58.08295231874592,40.088177661659046,1.8288700195950358
Columbia-Jefferson City,65211,Other,1346,655,0.486627043,5.066358381859585,443,199,13,67.63358778625954,30.38167938931298,1.984732824427481
"Columbus, OH",43210,Ohio,9286,4514,0.48610812,5.060955784678833,1714,2571,229,37.97075764288879,56.956136464333184,5.073105892778024
Los Angeles,92697,West Coast,7008,3400,0.485159817,5.051082837990598,2397,580,423,70.5,17.058823529411764,12.441176470588236
Santabarbra-Sanmar-Sanluob,93407,Other,7347,3539,0.481693208,5.0149913716070085,1174,2288,77,33.17321277196948,64.65103136479232,2.175755863238203
Dayton,45469,Other,528,253,0.479166667,4.988687115901142,176,76,1,69.56521739130434,30.039525691699602,0.3952569169960474
Philadelphia,19383,Pennsylvania,876,419,0.478310502,4.979773433880381,59,344,16,14.081145584725538,82.10023866348448,3.8186157517899764
Indianapolis,47406,Other,1773,844,0.476029329,4.956023746896746,435,385,24,51.54028436018957,45.61611374407583,2.843601895734597
Providence-New Bedford,2881,Other,7938,3778,0.475938524,4.955078360323019,2210,1504,64,58.49655902593965,39.80942297511911,1.694017998941239
Minneapolis-St. Paul,55455,Minnesota,4707,2236,0.475037179,4.945694301501411,1389,763,84,62.11985688729875,34.12343470483005,3.7567084078711988
Knoxville,37916,Other,14248,6755,0.474101628,4.9359541180926,3195,3367,193,47.29829755736492,49.84455958549223,2.857142857142857
Denver,80309,Rocky Mountains,4658,2192,0.470588235,4.899375575386505,2021,162,9,92.19890510948905,7.39051094890511,0.41058394160583944
Charlottesville,22904,Carolinas,3840,1794,0.4671875,4.863969934619981,1432,291,71,79.82162764771459,16.220735785953178,3.9576365663322184
"Washington, DC (Hagrstwn)",20742,Pacific Northwest,9088,4215,0.463798415,4.828685584020123,2058,2094,63,48.82562277580072,49.679715302491104,1.4946619217081851
Cincinnati,45221,Other,742,344,0.46361186,4.826743327621668,177,164,3,51.45348837209303,47.674418604651166,0.872093023255814
Johnstown-Altoona-St Colge,16802,Other,13563,6286,0.463466785,4.825232926683576,1756,4321,209,27.93509385937003,68.74005727012408,3.324848870505886
Baton Rouge,70813,Other,2285,1053,0.46083151,4.797796622481396,616,407,30,58.49952516619184,38.65147198480532,2.849002849002849
St. Louis,62026,Other,1195,540,0.451882845,4.70463052211487,239,283,18,44.25925925925926,52.407407407407405,3.3333333333333335
Eugene,97331,Other,3340,1490,0.446107784,4.644505362356537,517,946,27,34.697986577181204,63.48993288590604,1.8120805369127517
Monterey-Salinas,95064,Other,8559,3813,0.445495969,4.63813565048379,1971,1656,186,51.691581431943355,43.43036978756884,4.878048780487805
Seattle-Tacoma,98447,Pacific Northwest,645,286,0.443410853,4.616427146865446,173,106,7,60.48951048951049,37.06293706293706,2.4475524475524475
Charlotte,28223,Carolinas,2305,1014,0.439913232,4.580012809181548,737,258,19,72.68244575936885,25.443786982248522,1.8737672583826428
Roanoke-Lynchburg,24061,Other,10285,4491,0.436655323,4.546094154624806,3390,1082,19,75.48430193720776,24.092629703852147,0.4230683589401024
Des Moines-Ames,50013,Other,1255,544,0.433466135,4.512890966294958,483,61,0,88.78676470588235,11.213235294117647,0.0
Macon,31207,Other,676,292,0.431952663,4.497133947314595,135,143,14,46.23287671232877,48.97260273972603,4.794520547945205
Spokane,99251,Other,814,351,0.431203931,4.489338768853938,204,139,8,58.119658119658126,39.6011396011396,2.2792022792022792
Atlanta,30322,Southeast,2749,1185,0.431065842,4.487901100371151,79,769,337,6.666666666666667,64.89451476793249,28.43881856540084
Des Moines-Ames,50011,Other,1738,749,0.430955121,4.486748364873881,664,85,0,88.65153538050734,11.348464619492656,0.0
Buffalo,14260,New York,557,240,0.430879713,4.485963279132439,133,103,4,55.41666666666667,42.916666666666664,1.6666666666666667
Philadelphia,8544,Pennsylvania,4368,1880,0.43040293,4.480999408786298,612,1177,91,32.5531914893617,62.60638297872341,4.840425531914894
Buffalo,14261,New York,5911,2542,0.430045678,4.4772799963724745,1412,1093,37,55.54681353265145,42.997639653815895,1.4555468135326515
Baltimore,21251,Other,1397,597,0.427344309,4.449155576095146,162,409,26,27.1356783919598,68.50921273031825,4.355108877721943
Salt Lake City,84112,Mountain West,3008,1282,0.426196809,4.437208754958073,461,750,71,35.9594383775351,58.50234009360374,5.538221528861154
Cedar Rapids-Wtrlo-IWC&Dub,52242,Other,2243,954,0.425323228,4.428113751946531,307,456,191,32.18029350104822,47.79874213836478,20.020964360587
Chicago,60208,Illinois,2943,1248,0.424057085,4.414931717998854,798,444,6,63.942307692307686,35.57692307692308,0.4807692307692308
Boston (Manchester),2215,Massachusetts,26234,11006,0.419531905,4.367819285691176,1936,5766,3304,17.590405233508996,52.38960566963474,30.019989096856257
Greensboro-H.Point-W.Salem,27268,Other,1551,650,0.419084462,4.363160879163912,344,290,16,52.92307692307693,44.61538461538462,2.4615384615384617
San Francisco-Oak-San Jose,94720,West Coast,1196,501,0.418896321,4.361202110644914,133,305,63,26.546906187624753,60.87824351297405,12.574850299401197
Salt Lake City,84113,Mountain West,147,61,0.414965986,4.320282712602405,22,36,3,36.0655737704918,59.01639344262295,4.918032786885246
